,activity,protein_symbol,protein_name,aid,chembl_id,compound_name
62,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,910538,CHEMBL168861,
63,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,917071,CHEMBL165934,
64,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,919507,CHEMBL166664,
65,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,927254,CHEMBL169309,
66,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,927258,CHEMBL101365,
67,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,938558,CHEMBL443556,
68,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,942401,CHEMBL165933,
69,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,942405,CHEMBL424363,
70,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,1034331 | 1034332,CHEMBL3144004,
71,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,1040359 | 1040358 | 5241976,CHEMBL2364562,
72,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,1046572,CHEMBL3143998,
73,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,1048978 | 1048977,CHEMBL3144003,
74,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,1048981 | 1048982,CHEMBL451855,
75,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,1747021,CHEMBL208921,
76,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,1747027,CHEMBL209069,
77,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,1747030,CHEMBL428633,
78,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,1752538,CHEMBL384114,
79,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,1752580,CHEMBL215311,
80,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2001000 | 2008213,CHEMBL394276,Tiazofurin adenine dinucleotide
81,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2001004 | 13868082 | 2575567,CHEMBL392204,
82,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2575568 | 2001005,CHEMBL410745,
83,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2001008,CHEMBL392203,
84,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2001009,CHEMBL429702,
85,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2001010,CHEMBL235533,
86,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2001011,CHEMBL414564,
87,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2001012,CHEMBL265870,
88,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2001013,CHEMBL441190,
89,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2001014,CHEMBL409560,
90,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2001015,CHEMBL264107,
91,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2001016,CHEMBL394277,
92,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,2008214,CHEMBL429090,
93,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,2008215,CHEMBL239105,
94,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,2008216,CHEMBL238905,
95,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2008217,CHEMBL392178,
96,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,3596386 | 2008218,CHEMBL238461,Mycophenolic hydroxamic acid
97,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,2027371,CHEMBL246969,
98,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,2259936 | 2259934,CHEMBL443417,
99,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,2259937,CHEMBL486325,
100,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,2259939,CHEMBL444502,
101,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,2259943,CHEMBL487565,
102,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,2575561,CHEMBL504308,
103,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,2575562,CHEMBL476562,Mycophenolic bis(sulfonamide)
104,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2575563,CHEMBL444916,
105,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2575564,CHEMBL389392,
106,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2575565,CHEMBL510826,
107,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,2575566,CHEMBL446927,
108,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,2575581,CHEMBL508103,
109,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,3369527,CHEMBL1170847,
110,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3369538,CHEMBL1170848,
111,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,3369540,CHEMBL1170849,
112,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3369542,CHEMBL1170850,
113,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,3369544,CHEMBL1170851,
114,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3407376,CHEMBL1215173,
115,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3407377,CHEMBL1215174,
116,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3407379,CHEMBL1215176,
117,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3407380,CHEMBL1215241,
118,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3407381,CHEMBL1215242,
119,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,3407382,CHEMBL1215243,
120,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,3407383,CHEMBL1215244,
121,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3407384,CHEMBL1215245,
122,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3407385,CHEMBL1215311,
123,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3407386,CHEMBL1215312,
124,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,3407387,CHEMBL1215313,
125,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3596388,CHEMBL237760,
126,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,3596389,CHEMBL157617,
127,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3596390,CHEMBL437376,
128,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,3596391,CHEMBL132727,
129,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,3596392,CHEMBL238403,
130,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241979,CHEMBL1683637,
131,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241980,CHEMBL1683638,
132,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241981,CHEMBL1683639,
133,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241982,CHEMBL1683640,
134,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241983,CHEMBL1683742,
135,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241984,CHEMBL1683743,
136,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241985,CHEMBL1683744,
137,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241986,CHEMBL1683745,
138,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241987,CHEMBL1683746,Mycophenolic ethylenebis
139,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241988,CHEMBL1683747,
140,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241989,CHEMBL1683748,
141,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241990,CHEMBL1683749,
142,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241991,CHEMBL1683750,
143,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241992,CHEMBL1683751,
144,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241993,CHEMBL1683752,
145,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241994,CHEMBL1683753,
146,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241995,CHEMBL1683754,
147,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241996,CHEMBL1683755,
148,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13420089,CHEMBL2418586,
149,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13420090,CHEMBL2418585,
150,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13420091,CHEMBL2418580,
151,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868042,CHEMBL3098176,
152,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868043,CHEMBL3098175,
153,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868044,CHEMBL3098174,
154,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868045,CHEMBL3098173,
155,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868046,CHEMBL3098172,
156,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868047,CHEMBL3098171,
157,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868048,CHEMBL3098170,
158,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868049,CHEMBL3098169,
159,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868050,CHEMBL3098168,
160,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868051,CHEMBL3098167,
161,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868052,CHEMBL3098166,
162,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868053,CHEMBL3098165,
163,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868054,CHEMBL3098164,
164,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868055,CHEMBL3098163,
165,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868056,CHEMBL2437255,
166,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868057,CHEMBL2437266,
167,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868058,CHEMBL3098186,
168,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868059,CHEMBL2437254,
169,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868060,CHEMBL2437265,
170,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868061,CHEMBL3098185,
171,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868062,CHEMBL2437269,
172,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868063,CHEMBL2437258,
173,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868064,CHEMBL3098184,
174,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868065,CHEMBL2437273,
175,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868066,CHEMBL2437262,
176,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868067,CHEMBL3098183,
177,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868068,CHEMBL2437272,
178,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868069,CHEMBL2437261,
179,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868070,CHEMBL3098182,
180,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868071,CHEMBL3098181,
181,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868072,CHEMBL3098180,
182,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868073,CHEMBL3098179,
183,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868074,CHEMBL3098178,
184,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868075,CHEMBL3098177,
185,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868076,CHEMBL3098192,
186,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868077,CHEMBL3098191,
187,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868078,CHEMBL3098190,
188,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868079,CHEMBL3098189,
189,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868080,CHEMBL3098188,
190,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,13868081,CHEMBL3098187,
191,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777370,CHEMBL4285191,
192,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777371,CHEMBL1602759,
193,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777372,CHEMBL3416316,
194,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777373,CHEMBL4288980,
195,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777374,CHEMBL4278303,
196,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777393,CHEMBL4288538,
197,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777394,CHEMBL4280641,
198,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777395,CHEMBL4166303,
199,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777396,CHEMBL4284098,
200,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777397,CHEMBL4277486,
201,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777399,CHEMBL4176498,
202,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777400,CHEMBL4288794,
203,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777401,CHEMBL4289187,
204,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,144742,CHEMBL174629,
205,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,145887,CHEMBL174836,
206,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,147042,CHEMBL174542,
207,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,148318,CHEMBL173718,
208,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,149382,CHEMBL178076,
209,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,150610,CHEMBL362058,
210,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,150613,CHEMBL426227,
211,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,153079 | 676906,CHEMBL366941,
212,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,157970,CHEMBL177588,
213,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,159140,CHEMBL176038,
214,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,20597921 | 160380 | 704946 | 1770294,CHEMBL175177,
215,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,160384,CHEMBL368168,
216,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,162928,CHEMBL177302,
217,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,164088,CHEMBL174053,
218,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,167859,CHEMBL353546,
219,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,171473 | 1770312,CHEMBL174683,
220,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,173791,CHEMBL175174,
221,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,173792,CHEMBL176662,
222,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,176238,CHEMBL175173,
223,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,1770317 | 176240 | 1757591,CHEMBL361434,
224,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,178840,CHEMBL177835,
225,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,178841,CHEMBL174564,
226,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,181255,CHEMBL434136,
227,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,182578,CHEMBL368626,
228,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,182580,CHEMBL175685,
229,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,182582,CHEMBL177701,
230,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,182583,CHEMBL174838,
231,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,305285,CHEMBL174646,
232,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,306590,CHEMBL366966,
233,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,306591,CHEMBL176543,
234,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,309382,CHEMBL179681,
235,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,311968,CHEMBL426948,
236,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,318347,CHEMBL177930,
237,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,321921,CHEMBL366823,
238,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,324495 | 1612424,CHEMBL362185,
239,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,326839,CHEMBL177410,
240,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,329651,CHEMBL175171,
241,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,334965,CHEMBL175533,
242,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,336159,CHEMBL175011,
243,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,336160,CHEMBL18927,
244,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,336161,CHEMBL177929,
245,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,338705,CHEMBL368481,
246,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,341404,CHEMBL19332,
247,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,343689,CHEMBL367740,
248,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,343690,CHEMBL175095,
249,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,345153,CHEMBL174910,
250,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,345154,CHEMBL174719,
251,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,671653,CHEMBL426226,
252,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,671654,CHEMBL174007,
253,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,674234,CHEMBL173466,
254,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,676907,CHEMBL177283,
255,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,678284,CHEMBL172902,
256,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,678285,CHEMBL176335,
257,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,679311,CHEMBL367243,
258,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,680625,CHEMBL174225,
259,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,686330,CHEMBL368852,
260,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,687580,CHEMBL369000,
261,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,689137,CHEMBL353561,
262,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,690380,CHEMBL367430,
263,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,690381,CHEMBL366574,
264,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,691644,CHEMBL443828,
265,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,691645,CHEMBL175002,
266,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,692861,CHEMBL174670,
267,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,696932,CHEMBL369397,
268,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,698451,CHEMBL177733,
269,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,698452,CHEMBL368163,
270,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,699838,CHEMBL173638,
271,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,701060,CHEMBL176924,
272,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,701061,CHEMBL366842,
273,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,702358 | 20597979,CHEMBL353549,
274,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,703669,CHEMBL176017,
275,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,703670,CHEMBL366575,
276,inhibitor,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,707628,CHEMBL368787,
277,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,707629,CHEMBL367225,
278,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,708857,CHEMBL176905,
279,activator,Q8JXU8,Hepatitis C virus NS5B RNA-dependent RNA polymerase,711492,CHEMBL177073,
