source_diagram,source_id,source_name,source_up,source_hgnc,source_type,source_all,interaction_type,target_id,target_name,target_up,target_hgnc,target_type,target_all,reaction_annotation,org_source_id,org_target_id
R-HSA-9678108,R1_96,ACE2_space_inhibitors,NA,NA,DRUG,urn:miriam:reactome:R-ALL-9695417;urn:miriam:pubchem.compound:10206;urn:miriam:pubchem.compound:441397;urn:miriam:pubchem.compound:272833;urn:miriam:pubchem.compound:656511;urn:miriam:pubchem.compound:47499,CONSPUMPTION,R1_371,glycosylated-ACE2 binds ACE2 inhibitors,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9695415;PUBMED:32619700;PUBMED:34052578;PUBMED:32345140;PUBMED:33497607;PUBMED:32149769;PUBMED:33609497;PUBMED:33303459;PUBMED:33309272,layout_2064,reaction_9695415__layout_2063
R-HSA-9678108,R1_371,glycosylated-ACE2 binds ACE2 inhibitors,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_97,glycosylated_minus_ACE2:ACE2_space_inhibitors,UNIPROT:Q9BYF1,NA,COMPLEX,urn:miriam:pubchem.compound:10206;urn:miriam:pubchem.compound:441397;urn:miriam:pubchem.compound:272833;urn:miriam:uniprot:Q9BYF1;urn:miriam:reactome:R-HSA-9695376;urn:miriam:pubchem.compound:656511;urn:miriam:pubchem.compound:47499,REACTOME:R-HSA-9695415;PUBMED:32619700;PUBMED:34052578;PUBMED:32345140;PUBMED:33497607;PUBMED:32149769;PUBMED:33609497;PUBMED:33303459;PUBMED:33309272,reaction_9695415__layout_2063,layout_2065
R-HSA-9678108,R1_245,SUMO1_minus_K62_minus_p_minus_S177_minus_N_space_dimer,UNIPROT:P59595,NA,COMPLEX,urn:miriam:pubmed:15094372;urn:miriam:reactome:R-COV-9683649;urn:miriam:uniprot:P59595,CONSPUMPTION,R1_286,Nucleoprotein translocates to the nucleolus,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9683606;PUBMED:15848177,layout_739,reaction_9683606__layout_262
R-HSA-9678108,R1_286,Nucleoprotein translocates to the nucleolus,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_132,SUMO_minus_p_minus_N_space_dimer,UNIPROT:P59595,NA,COMPLEX,urn:miriam:reactome:R-COV-9683761;urn:miriam:pubmed:15094372;urn:miriam:uniprot:P59595;urn:miriam:reactome:R-COV-9694659,REACTOME:R-HSA-9683606;PUBMED:15848177,reaction_9683606__layout_262,layout_263
R-HSA-9678108,R1_170,3xPalmC_minus_E,UNIPROT:P59637,NA,PROTEIN,urn:miriam:reactome:R-COV-9683597;urn:miriam:uniprot:P59637;urn:miriam:reactome:R-COV-9694305,CONSPUMPTION,R1_300,Ubiquination of protein E,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9683679;PUBMED:20409569,layout_362,reaction_9683679__layout_363
R-HSA-9678108,R1_171,Ub,UNIPROT:P62987;UNIPROT:P62979;UNIPROT:P0CG48;UNIPROT:P0CG47,NA,COMPLEX,urn:miriam:uniprot:P62987;urn:miriam:uniprot:P62979;urn:miriam:uniprot:P0CG48;urn:miriam:uniprot:P0CG47;urn:miriam:reactome:R-HSA-8943136,CONSPUMPTION,R1_300,Ubiquination of protein E,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9683679;PUBMED:20409569,layout_364,reaction_9683679__layout_363
R-HSA-9678108,R1_300,Ubiquination of protein E,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_172,Ub_minus_3xPalmC_minus_E,UNIPROT:P59637,NA,PROTEIN,urn:miriam:uniprot:P59637;urn:miriam:reactome:R-COV-9694423;urn:miriam:reactome:R-COV-9683626,REACTOME:R-HSA-9683679;PUBMED:20409569,reaction_9683679__layout_363,layout_365
R-HSA-9678108,R1_112,m7GpppA_minus_SARS_minus_CoV_minus_1_space_plus_space_strand_space_subgenomic_space_mRNAs:RTC,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9713302;urn:miriam:uniprot:P0C6U8;urn:miriam:reactome:R-COV-9713651;urn:miriam:refseq:NC_004718.3;urn:miriam:uniprot:P0C6X7,CONSPUMPTION,R1_322,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 mRNAs,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9684033;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,layout_2103,reaction_9684033__layout_427
R-HSA-9678108,R1_191,S_minus_adenosyl_minus_L_minus_methionine,NA,NA,SIMPLE_MOLECULE,urn:miriam:reactome:R-ALL-9639461;urn:miriam:obo.chebi:CHEBI%3A15414,CONSPUMPTION,R1_322,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 mRNAs,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9684033;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,layout_422,reaction_9684033__layout_427
R-HSA-9678108,R1_112,m7GpppA_minus_SARS_minus_CoV_minus_1_space_plus_space_strand_space_subgenomic_space_mRNAs:RTC,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9713302;urn:miriam:uniprot:P0C6U8;urn:miriam:reactome:R-COV-9713651;urn:miriam:refseq:NC_004718.3;urn:miriam:uniprot:P0C6X7,CATALYSIS,R1_322,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 mRNAs,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9684033;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,layout_2103,reaction_9684033__layout_427
R-HSA-9678108,R1_322,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 mRNAs,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_190,S_minus_adenosyl_minus_L_minus_homocysteine,NA,NA,SIMPLE_MOLECULE,urn:miriam:obo.chebi:CHEBI%3A16680;urn:miriam:reactome:R-ALL-9639443,REACTOME:R-HSA-9684033;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,reaction_9684033__layout_427,layout_420
R-HSA-9678108,R1_322,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 mRNAs,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_204,RTC,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9686016;urn:miriam:reactome:R-COV-9694302;urn:miriam:uniprot:P0C6U8;urn:miriam:uniprot:P0C6X7,REACTOME:R-HSA-9684033;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,reaction_9684033__layout_427,layout_458
R-HSA-9678108,R1_322,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 mRNAs,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_194,m7G(5')pppAm_minus_SARS_minus_CoV_minus_1_space_plus_space_strand_space_subgenomic_space_mRNAs,NA,NA,COMPLEX,urn:miriam:reactome:R-COV-9685891;urn:miriam:reactome:R-COV-9694259;urn:miriam:refseq:NC_004718.3,REACTOME:R-HSA-9684033;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,reaction_9684033__layout_427,layout_429
R-HSA-9678108,R1_28,SARS_space_coronavirus_space_gRNA:RTC:RNA_space_primer,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9681663;urn:miriam:uniprot:P0C6U8;urn:miriam:refseq:NC_004718.3;urn:miriam:uniprot:P0C6X7;urn:miriam:reactome:R-COV-9694725,CONSPUMPTION,R1_268,nsp12 synthesizes minus strand SARS-CoV-1 genomic RNA complement,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9681674;PUBMED:25197083;PUBMED:22791111,layout_138,reaction_9681674__layout_140
R-HSA-9678108,R1_34,NTP(4_minus_),NA,NA,SIMPLE_MOLECULE,urn:miriam:reactome:R-ALL-6806881;urn:miriam:obo.chebi:CHEBI%3A61557,CONSPUMPTION,R1_268,nsp12 synthesizes minus strand SARS-CoV-1 genomic RNA complement,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9681674;PUBMED:25197083;PUBMED:22791111,layout_142,reaction_9681674__layout_140
R-HSA-9678108,R1_28,SARS_space_coronavirus_space_gRNA:RTC:RNA_space_primer,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9681663;urn:miriam:uniprot:P0C6U8;urn:miriam:refseq:NC_004718.3;urn:miriam:uniprot:P0C6X7;urn:miriam:reactome:R-COV-9694725,CATALYSIS,R1_268,nsp12 synthesizes minus strand SARS-CoV-1 genomic RNA complement,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9681674;PUBMED:25197083;PUBMED:22791111,layout_138,reaction_9681674__layout_140
R-HSA-9678108,R1_20,SARS_space_coronavirus_space_gRNA:RTC:RNA_space_primer:RTC_space_inhibitors,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9694255;urn:miriam:reactome:R-COV-9680476;urn:miriam:uniprot:P0C6U8;urn:miriam:refseq:NC_004718.3;urn:miriam:uniprot:P0C6X7,MODULATION,R1_268,nsp12 synthesizes minus strand SARS-CoV-1 genomic RNA complement,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9681674;PUBMED:25197083;PUBMED:22791111,layout_1266,reaction_9681674__layout_140
R-HSA-9678108,R1_268,nsp12 synthesizes minus strand SARS-CoV-1 genomic RNA complement,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_32,SARS_minus_CoV_minus_1_space_gRNA:RTC:nascent_space_RNA_space_minus_space_strand,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9682469;urn:miriam:uniprot:P0C6U8;urn:miriam:refseq:NC_004718.3;urn:miriam:reactome:R-COV-9694618;urn:miriam:uniprot:P0C6X7,REACTOME:R-HSA-9681674;PUBMED:25197083;PUBMED:22791111,reaction_9681674__layout_140,layout_141
R-HSA-9678108,R1_268,nsp12 synthesizes minus strand SARS-CoV-1 genomic RNA complement,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_30,PPi,NA,NA,SIMPLE_MOLECULE,urn:miriam:obo.chebi:CHEBI%3A33019;urn:miriam:reactome:R-ALL-111294,REACTOME:R-HSA-9681674;PUBMED:25197083;PUBMED:22791111,reaction_9681674__layout_140,layout_139
R-HSA-9678108,R1_206,a_space_nucleotide_space_sugar,NA,NA,SIMPLE_MOLECULE,urn:miriam:reactome:R-ALL-1131311;urn:miriam:obo.chebi:CHEBI%3A25609,CONSPUMPTION,R1_333,nsp3 is glycosylated,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9684290;PUBMED:15564471,layout_48,reaction_9684290__layout_56
R-HSA-9678108,R1_212,nsp3,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:uniprot:P0C6U8;urn:miriam:reactome:R-COV-9684877;urn:miriam:uniprot:P0C6X7;urn:miriam:reactome:R-COV-9694428,CONSPUMPTION,R1_333,nsp3 is glycosylated,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9684290;PUBMED:15564471,layout_53,reaction_9684290__layout_56
R-HSA-9678108,R1_333,nsp3 is glycosylated,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_207,H_plus_,NA,NA,SIMPLE_MOLECULE,urn:miriam:obo.chebi:CHEBI%3A15378;urn:miriam:reactome:R-ALL-70106,REACTOME:R-HSA-9684290;PUBMED:15564471,reaction_9684290__layout_56,layout_49
R-HSA-9678108,R1_333,nsp3 is glycosylated,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_214,N_minus_glycan_space_nsp3,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9682205;urn:miriam:reactome:R-COV-9694735;urn:miriam:uniprot:P0C6U8;urn:miriam:uniprot:P0C6X7,REACTOME:R-HSA-9684290;PUBMED:15564471,reaction_9684290__layout_56,layout_57
R-HSA-9678108,R1_333,nsp3 is glycosylated,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_211,nucleoside_space_5'_minus_diphosphate(3_minus_),NA,NA,SIMPLE_MOLECULE,urn:miriam:obo.chebi:CHEBI%3A57930;urn:miriam:reactome:R-ALL-9684302,REACTOME:R-HSA-9684290;PUBMED:15564471,reaction_9684290__layout_56,layout_51
R-HSA-9678108,R1_105,m7GpppA_minus_capped_space_SARS_minus_CoV_minus_1_space_genomic_space_RNA_space_complement_space_(minus_space_strand):RTC,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9713306;urn:miriam:reactome:R-COV-9713634;urn:miriam:uniprot:P0C6U8;urn:miriam:refseq:NC_004718.3;urn:miriam:uniprot:P0C6X7,CONSPUMPTION,R1_320,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA complement (minus strand),NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9684030;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,layout_2081,reaction_9684030__layout_167
R-HSA-9678108,R1_49,S_minus_adenosyl_minus_L_minus_methionine,NA,NA,SIMPLE_MOLECULE,urn:miriam:reactome:R-ALL-9639461;urn:miriam:obo.chebi:CHEBI%3A15414,CONSPUMPTION,R1_320,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA complement (minus strand),NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9684030;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,layout_155,reaction_9684030__layout_167
R-HSA-9678108,R1_105,m7GpppA_minus_capped_space_SARS_minus_CoV_minus_1_space_genomic_space_RNA_space_complement_space_(minus_space_strand):RTC,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9713306;urn:miriam:reactome:R-COV-9713634;urn:miriam:uniprot:P0C6U8;urn:miriam:refseq:NC_004718.3;urn:miriam:uniprot:P0C6X7,CATALYSIS,R1_320,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA complement (minus strand),NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9684030;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,layout_2081,reaction_9684030__layout_167
R-HSA-9678108,R1_320,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA complement (minus strand),NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_51,S_minus_adenosyl_minus_L_minus_homocysteine,NA,NA,SIMPLE_MOLECULE,urn:miriam:obo.chebi:CHEBI%3A16680;urn:miriam:reactome:R-ALL-9639443,REACTOME:R-HSA-9684030;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,reaction_9684030__layout_167,layout_158
R-HSA-9678108,R1_320,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA complement (minus strand),NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_204,RTC,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9686016;urn:miriam:reactome:R-COV-9694302;urn:miriam:uniprot:P0C6U8;urn:miriam:uniprot:P0C6X7,REACTOME:R-HSA-9684030;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,reaction_9684030__layout_167,layout_458
R-HSA-9678108,R1_320,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA complement (minus strand),NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_78,m7G(5')pppAm_minus_capped_space_SARS_minus_CoV_minus_1_space_genomic_space_RNA_space_complement_space_(minus_space_strand),NA,NA,RNA,urn:miriam:reactome:R-COV-9685513;urn:miriam:reactome:R-COV-9694603;urn:miriam:refseq:NC_004718.3,REACTOME:R-HSA-9684030;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,reaction_9684030__layout_167,layout_1941
R-HSA-9678108,R1_119,nascent_space_Spike,UNIPROT:P59594,NA,PROTEIN,urn:miriam:uniprot:P59594;urn:miriam:reactome:R-COV-9682868,CONSPUMPTION,R1_311,Spike protein gets N-glycosylated,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9683755;PUBMED:20129637;PUBMED:15831954;PUBMED:12775768,layout_227,reaction_9683755__layout_271
R-HSA-9678108,R1_134,nucleotide_minus_sugar,NA,NA,UNKNOWN,urn:miriam:reactome:R-ALL-9683033,CONSPUMPTION,R1_311,Spike protein gets N-glycosylated,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9683755;PUBMED:20129637;PUBMED:15831954;PUBMED:12775768,layout_272,reaction_9683755__layout_271
R-HSA-9678108,R1_311,Spike protein gets N-glycosylated,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_137,H_plus_,NA,NA,SIMPLE_MOLECULE,urn:miriam:obo.chebi:CHEBI%3A15378;urn:miriam:reactome:R-ALL-156540,REACTOME:R-HSA-9683755;PUBMED:20129637;PUBMED:15831954;PUBMED:12775768,reaction_9683755__layout_271,layout_275
R-HSA-9678108,R1_311,Spike protein gets N-glycosylated,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_136,nucleoside_space_5'_minus_diphosphate(3−),NA,NA,UNKNOWN,urn:miriam:reactome:R-ALL-9683046,REACTOME:R-HSA-9683755;PUBMED:20129637;PUBMED:15831954;PUBMED:12775768,reaction_9683755__layout_271,layout_274
R-HSA-9678108,R1_311,Spike protein gets N-glycosylated,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_135,N_minus_glycan_space_Spike,UNIPROT:P59594,NA,PROTEIN,urn:miriam:pubmed:20129637;urn:miriam:pubmed:15253436;urn:miriam:pubmed:17715238;urn:miriam:reactome:R-COV-9683594;urn:miriam:pubmed:16122388;urn:miriam:uniprot:P59594;urn:miriam:pubmed:12775768;urn:miriam:pubmed:14760722,REACTOME:R-HSA-9683755;PUBMED:20129637;PUBMED:15831954;PUBMED:12775768,reaction_9683755__layout_271,layout_273
R-HSA-9678108,R1_108,m7GpppA_minus_capped_space_SARS_minus_CoV_minus_1_space_genomic_space_RNA_space_(plus_space_strand):RTC,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9713313;urn:miriam:reactome:R-COV-9713643;urn:miriam:uniprot:P0C6U8;urn:miriam:refseq:NC_004718.3;urn:miriam:uniprot:P0C6X7,CONSPUMPTION,R1_321,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA (plus strand),NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9684032;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,layout_2093,reaction_9684032__layout_185
R-HSA-9678108,R1_63,S_minus_adenosyl_minus_L_minus_methionine,NA,NA,SIMPLE_MOLECULE,urn:miriam:reactome:R-ALL-9639461;urn:miriam:obo.chebi:CHEBI%3A15414,CONSPUMPTION,R1_321,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA (plus strand),NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9684032;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,layout_182,reaction_9684032__layout_185
R-HSA-9678108,R1_108,m7GpppA_minus_capped_space_SARS_minus_CoV_minus_1_space_genomic_space_RNA_space_(plus_space_strand):RTC,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9713313;urn:miriam:reactome:R-COV-9713643;urn:miriam:uniprot:P0C6U8;urn:miriam:refseq:NC_004718.3;urn:miriam:uniprot:P0C6X7,CATALYSIS,R1_321,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA (plus strand),NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9684032;PUBMED:18417574;PUBMED:21637813;PUBMED:24478444;PUBMED:20421945;PUBMED:12456663;PUBMED:6165837,layout_2093,reaction_9684032__layout_185
